,event_name,weight_class,fighter_1,action,fighter_2,round,time,method
0,UFC 229: Khabib vs. McGregor,Lightweight,Khabib Nurmagomedov,def.,Conor McGregor,4,3:03,Submission (neck crank)
1,UFC 229: Khabib vs. McGregor,Lightweight,Tony Ferguson,def.,Anthony Pettis,2,5:00,TKO (corner stoppage)
2,UFC 229: Khabib vs. McGregor,Light Heavyweight,Dominick Reyes,def.,Ovince Saint Preux,3,5:00,"Decision (unanimous) (30-27, 30-27, 30-27)"
3,UFC 229: Khabib vs. McGregor,Heavyweight,Derrick Lewis,def.,Alexander Volkov,3,4:49,KO (punches)
4,UFC 229: Khabib vs. McGregor,Women's Strawweight,Michelle Waterson,def.,Felice Herrig,3,5:00,"Decision (unanimous) (30-26, 29-28, 30-27)"
5,UFC 229: Khabib vs. McGregor,Flyweight,Jussier Formiga,def.,Sergio Pettis,3,5:00,"Decision (unanimous) (30-26, 29-28, 29-28)"
6,UFC 229: Khabib vs. McGregor,Welterweight,Vicente Luque,def.,Jalin Turner,1,3:52,KO (punches)
7,UFC 229: Khabib vs. McGregor,Women's Bantamweight,Aspen Ladd,def.,Tonya Evinger,1,3:26,TKO (punches)
8,UFC 229: Khabib vs. McGregor,Lightweight,Scott Holtzman,def.,Alan Patrick,3,3:42,KO (elbows)
9,UFC 229: Khabib vs. McGregor,Women's Bantamweight,Yana Kunitskaya,def.,Lina Länsberg,3,5:00,"Decision (unanimous) (30-27, 30-27, 30-27)"
10,UFC 229: Khabib vs. McGregor,Lightweight,Nik Lentz,def.,Gray Maynard,2,1:19,TKO (head kick and punches)
11,UFC 229: Khabib vs. McGregor,Welterweight,Tony Martin,def.,Ryan LaFlare,3,1:00,KO (head kick and punches)
12,UFC Fight Night: Santos vs. Anders,Light Heavyweight,Thiago Santos,def.,Eryk Anders,3,5:00,TKO (referee stoppage)
13,UFC Fight Night: Santos vs. Anders,Welterweight,Alex Oliveira,def.,Carlo Pedersoli Jr.,1,0:39,TKO (punches)
14,UFC Fight Night: Santos vs. Anders,Light Heavyweight,Antônio Rogério Nogueira,def.,Sam Alvey,2,1:00,TKO (punches)
15,UFC Fight Night: Santos vs. Anders,Catchweight (141.6 lbs),Andre Ewell,def.,Renan Barão,3,5:00,"Decision (split) (29-28, 29-28, 28-29)"
16,UFC Fight Night: Santos vs. Anders,Women's Strawweight,Randa Markos,vs.,Marina Rodriguez,3,5:00,"Draw (majority) (29-28, 28-28, 28-28)"
17,UFC Fight Night: Santos vs. Anders,Lightweight,Charles Oliveira,def.,Christos Giagos,2,3:22,Submission (rear-naked choke)
18,UFC Fight Night: Santos vs. Anders,Lightweight,Francisco Trinaldo,def.,Evan Dunham,2,4:10,TKO (knee to the body)
19,UFC Fight Night: Santos vs. Anders,Light Heavyweight,Ryan Spann,def.,Luis Henrique,3,5:00,"Decision (unanimous) (30-27, 30-27, 29-28)"
20,UFC Fight Night: Santos vs. Anders,Heavyweight,Augusto Sakai,def.,Chase Sherman,3,4:03,TKO (punches)
21,UFC Fight Night: Santos vs. Anders,Welterweight,Sérgio Moraes,def.,Ben Saunders,2,4:42,Submission (arm-triangle choke)
22,UFC Fight Night: Santos vs. Anders,Women's Flyweight,Mayra Bueno Silva,def.,Gillian Robertson,1,4:55,Submission (armbar)
